Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
41:48.1,-0.09,0.54,0.84,-1,33.9,0.75
41:48.1,-0.12,0.46,0.83,-1,33.9,0.753
41:48.1,-0.13,0.53,0.8,-1,33.9,0.753
41:48.2,-0.13,0.55,0.83,-1,33.9,0.76
41:48.2,-0.14,0.57,0.85,-1,33.9,0.76
41:48.2,-0.15,0.69,0.82,-1,33.9,0.755
41:48.3,-0.16,0.83,0.81,-1,33.9,0.76
41:48.3,-0.19,0.75,0.94,-1,33.9,0.76
41:48.3,-0.18,1,0.87,-1,33.9,0.76
41:48.3,-0.3,0.67,0.84,-1,33.9,0.76
41:48.4,-0.31,0.6,0.88,-1,33.9,0.757
41:48.4,-0.34,0.66,0.67,-1,33.9,0.757
41:48.4,-0.35,0.51,0.61,-1,33.9,0.753
41:48.5,-0.37,0.33,0.62,-1,33.9,0.753
41:48.5,-0.4,0.31,0.55,-1,33.9,0.753
41:48.5,-0.41,0.26,0.57,-1,33.9,0.753
41:48.6,-0.4,0.28,0.64,-1,33.9,0.753
41:48.6,-0.44,0.29,0.66,-1,33.9,0.757
41:48.6,-0.57,0.04,0.53,-1,33.9,0.76
41:48.7,-0.45,0.43,0.66,-1,33.9,0.76
41:48.7,-0.39,0.62,0.98,-1,33.9,0.763
41:48.7,-0.56,0.21,0.8,-1,33.9,0.767
41:48.8,-0.44,0.67,0.77,-1,33.9,0.767
41:48.8,-0.47,0.5,0.89,-1,33.9,0.767
41:48.8,-0.54,0.1,0.72,-1,33.9,0.767
41:48.8,-0.45,0.32,0.7,-1,33.9,0.767
41:48.9,-0.43,0.23,0.67,-1,33.9,0.767
41:48.9,-0.4,0.2,0.76,-1,33.9,0.772
41:48.9,-0.41,0.15,0.66,-1,33.9,0.772
41:49.0,-0.35,0.17,0.66,-1,33.9,0.775
41:49.0,-0.31,0.35,0.68,-1,33.9,0.782
41:49.0,-0.27,0.42,0.84,-1,33.9,0.789
41:49.1,-0.2,0.37,0.75,-1,33.7,0.789
41:49.1,-0.07,0.12,0.73,-1,33.9,0.794
41:49.1,0.06,0.41,0.94,-1,33.9,0.794
41:49.2,0.08,0.8,1.18,-1,33.9,0.789
