Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
58:51.5,-0.42,0.66,-0.49,-1,34.7,0.301,0,0.0000,0.0000,0.0000,0.0000,0.0000
58:51.5,-0.42,0.67,-0.5,-1,34.7,0.301,0,0.0000,0.0001,0.0001,0.0002,0.0141
58:51.5,-0.43,0.64,-0.5,-1,34.7,0.301,0,0.0001,0.0009,0.0000,0.0010,0.0316
58:51.6,-0.43,0.64,-0.48,-1,34.7,0.301,0,0.0000,0.0000,0.0004,0.0004,0.0200
58:51.6,-0.43,0.64,-0.49,-1,34.7,0.301,0,0.0000,0.0000,0.0001,0.0001,0.0100
58:51.6,-0.42,0.65,-0.48,-1,34.7,0.301,0,0.0001,0.0001,0.0001,0.0003,0.0173
58:51.7,-0.41,0.62,-0.46,-1,34.7,0.301,0,0.0001,0.0009,0.0004,0.0014,0.0374
58:51.7,-0.42,0.59,-0.4,-1,34.7,0.304,0,0.0001,0.0009,0.0036,0.0046,0.0678
58:51.7,-0.4,0.7,-0.34,-1,34.7,0.307,0,0.0004,0.0121,0.0036,0.0161,0.1269
58:51.8,-0.42,0.67,-0.26,-1,34.7,0.307,0,0.0004,0.0009,0.0064,0.0077,0.0877
58:51.8,-0.36,0.52,0,-1,34.7,0.307,0,0.0036,0.0225,0.0676,0.0937,0.3061
58:51.8,-0.28,0.53,0.53,-1,34.7,0.307,0,0.0064,0.0001,0.2809,0.2874,0.5361
58:51.8,-0.3,1.21,0.35,-1,34.7,0.307,0,0.0004,0.4624,0.0324,0.4952,0.7037
58:51.9,-0.34,1.37,0.37,-1,34.7,0.307,0,0.0016,0.0256,0.0004,0.0276,0.1661
58:51.9,-0.34,0.54,0.79,-1,34.7,0.309,0,0.0000,0.6889,0.1764,0.8653,0.9302
58:51.9,-0.27,0.53,0.78,-1,34.7,0.312,0,0.0049,0.0001,0.0001,0.0051,0.0714
58:52.0,-0.23,0.79,0.77,-1,34.7,0.312,0,0.0016,0.0676,0.0001,0.0693,0.2632
58:52.0,-0.25,0.53,0.8,-1,34.7,0.312,0,0.0004,0.0676,0.0009,0.0689,0.2625
58:52.0,-0.25,0.47,0.77,-1,34.7,0.314,0,0.0000,0.0036,0.0009,0.0045,0.0671
58:52.1,-0.23,0.62,0.79,-1,34.7,0.314,0,0.0004,0.0225,0.0004,0.0233,0.1526
58:52.1,-0.24,0.58,0.78,-1,34.7,0.317,0,0.0001,0.0016,0.0001,0.0018,0.0424
58:52.1,-0.24,0.42,0.76,-1,34.7,0.317,0,0.0000,0.0256,0.0004,0.0260,0.1612
58:52.2,-0.22,0.56,0.81,-1,34.7,0.317,0,0.0004,0.0196,0.0025,0.0225,0.1500
58:52.2,-0.22,0.56,0.83,-1,34.7,0.32,0,0.0000,0.0000,0.0004,0.0004,0.0200
58:52.2,-0.2,0.36,0.81,-1,34.7,0.322,0,0.0004,0.0400,0.0004,0.0408,0.2020
58:52.2,-0.2,0.46,0.89,-1,34.7,0.322,0,0.0000,0.0100,0.0064,0.0164,0.1281
58:52.3,-0.22,0.54,0.83,-1,34.7,0.322,0,0.0004,0.0064,0.0036,0.0104,0.1020
58:52.3,-0.2,0.38,0.88,-1,34.7,0.322,0,0.0004,0.0256,0.0025,0.0285,0.1688
58:52.3,-0.17,0.45,0.96,-1,34.7,0.322,0,0.0009,0.0049,0.0064,0.0122,0.1105
58:52.4,-0.22,0.3,0.69,-1,34.7,0.322,0,0.0025,0.0225,0.0729,0.0979,0.3129
58:52.4,-0.19,0.29,0.81,-1,34.7,0.322,0,0.0009,0.0001,0.0144,0.0154,0.1241
58:52.4,-0.05,0.35,0.87,-1,34.7,0.324,0,0.0196,0.0036,0.0036,0.0268,0.1637
58:52.5,-0.31,1.5,0.9,-1,34.7,0.324,0,0.0676,1.3225,0.0009,1.3910,1.1794
58:52.5,-0.07,-0.18,0.83,-1,34.7,0.322,0,0.0576,2.8224,0.0049,2.8849,1.6985
58:52.5,-0.06,0.54,0.93,-1,34.7,0.324,0,0.0001,0.5184,0.0100,0.5285,0.7270
58:52.6,-0.05,0.41,0.94,-1,34.7,0.322,0,0.0001,0.0169,0.0001,0.0171,0.1308
58:52.6,-0.08,0.3,1.02,-1,34.7,0.324,0,0.0009,0.0121,0.0064,0.0194,0.1393
58:52.6,-0.13,0.24,0.95,-1,34.7,0.322,0,0.0025,0.0036,0.0049,0.0110,0.1049
58:52.7,-0.12,0.28,0.97,-1,34.7,0.322,0,0.0001,0.0016,0.0004,0.0021,0.0458
58:52.7,-0.14,0.35,0.99,-1,34.7,0.322,0,0.0004,0.0049,0.0004,0.0057,0.0755
58:52.7,-0.13,0.3,0.96,-1,34.7,0.322,0,0.0001,0.0025,0.0009,0.0035,0.0592
58:52.8,-0.12,0.31,0.92,-1,34.5,0.322,0,0.0001,0.0001,0.0016,0.0018,0.0424
58:52.8,-0.12,0.38,0.95,-1,34.7,0.322,0,0.0000,0.0049,0.0009,0.0058,0.0762
58:52.8,-0.13,0.34,0.91,-1,34.7,0.324,0,0.0001,0.0016,0.0016,0.0033,0.0574
58:52.8,-0.16,0.34,0.9,-1,34.7,0.324,0,0.0009,0.0000,0.0001,0.0010,0.0316
58:52.9,-0.15,0.41,0.97,-1,34.7,0.324,0,0.0001,0.0049,0.0049,0.0099,0.0995
58:52.9,-0.15,0.31,0.86,-1,34.7,0.327,0,0.0000,0.0100,0.0121,0.0221,0.1487
58:52.9,-0.18,0.33,0.92,-1,34.5,0.327,0,0.0009,0.0004,0.0036,0.0049,0.0700
58:53.0,-0.13,0.41,0.93,-1,34.7,0.327,0,0.0025,0.0064,0.0001,0.0090,0.0949
58:53.0,-0.16,0.32,0.87,-1,34.5,0.327,0,0.0009,0.0081,0.0036,0.0126,0.1122
58:53.0,-0.19,0.41,1.01,-1,34.7,0.327,0,0.0009,0.0081,0.0196,0.0286,0.1691
58:53.1,-0.19,0.41,0.87,-1,34.7,0.327,0,0.0000,0.0000,0.0196,0.0196,0.1400
58:53.1,-0.19,0.33,0.85,-1,34.5,0.33,0,0.0000,0.0064,0.0004,0.0068,0.0825
58:53.1,-0.18,0.35,0.94,-1,34.7,0.332,0,0.0001,0.0004,0.0081,0.0086,0.0927
