Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
58:42.6,-0.16,0.3,0.94,-1,34.9,0.296,0,0,0.0004,0.0004,0.0008,0.0283
58:42.6,-0.15,0.33,0.92,-1,34.9,0.296,0,0.0001,0.0009,0.0004,0.0014,0.0374
58:42.6,-0.16,0.34,0.95,-1,34.9,0.296,0,0.0001,0.0001,0.0009,0.0011,0.0332
58:42.7,-0.17,0.34,0.94,-1,34.9,0.296,0,0.0001,0,0.0001,0.0002,0.0141
58:42.7,-0.16,0.37,0.92,-1,34.9,0.296,0,0.0001,0.0009,0.0004,0.0014,0.0374
58:42.7,-0.17,0.36,0.94,-1,34.9,0.296,0,0.0001,0.0001,0.0004,0.0006,0.0245
58:42.7,-0.18,0.29,0.92,-1,34.9,0.296,0,0.0001,0.0049,0.0004,0.0054,0.0735
58:42.8,-0.17,0.33,0.94,-1,34.9,0.296,0,0.0001,0.0016,0.0004,0.0021,0.0458
58:42.8,-0.18,0.33,0.92,-1,34.9,0.296,0,0.0001,0,0.0004,0.0005,0.0224
58:42.8,-0.16,0.28,0.93,-1,34.9,0.296,0,0.0004,0.0025,0.0001,0.003,0.0548
58:42.9,-0.17,0.32,0.95,-1,34.9,0.296,0,0.0001,0.0016,0.0004,0.0021,0.0458
58:42.9,-0.18,0.32,0.91,-1,34.9,0.296,0,0.0001,0,0.0016,0.0017,0.0412
58:42.9,-0.18,0.24,0.88,-1,34.9,0.296,0,0,0.0064,0.0009,0.0073,0.0854
58:43.0,-0.13,0.4,1.01,-1,34.9,0.296,0,0.0025,0.0256,0.0169,0.045,0.2121
58:43.0,-0.17,0.28,0.9,-1,34.9,0.296,0,0.0016,0.0144,0.0121,0.0281,0.1676
58:43.0,-0.17,0.12,0.62,-1,34.9,0.296,0,0,0.0256,0.0784,0.104,0.3225
58:43.1,-0.04,0.63,0,-1,34.9,0.296,0,0.0169,0.2601,0.3844,0.6614,0.8133
58:43.1,-0.13,0.82,0.85,-1,34.9,0.296,0,0.0081,0.0361,0.7225,0.7667,0.8756
58:43.1,-0.08,-0.06,0.69,-1,34.9,0.296,0,0.0025,0.7744,0.0256,0.8025,0.8958
58:43.2,-0.03,0.51,0.96,-1,34.9,0.296,0,0.0025,0.3249,0.0729,0.4003,0.6327
58:43.2,-0.05,0.47,1.04,-1,34.9,0.296,0,0.0004,0.0016,0.0064,0.0084,0.0917
58:43.2,-0.12,0.29,0.94,-1,34.9,0.296,0,0.0049,0.0324,0.01,0.0473,0.2175
58:43.3,-0.18,0.35,1.03,-1,34.9,0.296,0,0.0036,0.0036,0.0081,0.0153,0.1237
58:43.3,-0.14,0.29,0.95,-1,34.9,0.296,0,0.0016,0.0036,0.0064,0.0116,0.1077
58:43.3,-0.1,0.3,0.89,-1,34.9,0.296,0,0.0016,0.0001,0.0036,0.0053,0.0728
58:43.3,-0.09,0.31,0.91,-1,34.9,0.296,0,0.0001,0.0001,0.0004,0.0006,0.0245
58:43.4,-0.12,0.3,0.95,-1,34.9,0.296,0,0.0009,0.0001,0.0016,0.0026,0.051
