Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
43:57.8,0.68,0.65,-0.28
43:57.8,0.67,0.59,-0.28
43:57.9,0.66,0.59,-0.31
43:57.9,0.69,0.63,-0.34
43:57.9,0.66,0.58,-0.41
43:58.0,0.64,0.5,-0.35
43:58.0,0.63,0.58,-0.4
43:58.0,0.6,0.53,-0.47
43:58.1,0.58,0.46,-0.48
43:58.1,0.62,0.61,-0.61
43:58.1,0.62,0.53,-0.69
43:58.2,0.61,0.42,-0.74
43:58.2,0.68,0.54,-1.08
43:58.2,0.73,0.44,-0.99
43:58.3,0.68,0.49,-1.15
43:58.3,0.68,0.41,-1.2
43:58.3,0.54,0.35,-0.96
43:58.3,0.39,0.25,-0.96
43:58.4,0.32,0.15,-0.87
43:58.4,0.29,0.19,-0.8
43:58.4,0.22,0.21,-0.82
43:58.5,0.14,0.19,-0.77
43:58.5,0.09,0.08,-0.68
43:58.5,0.03,0.26,-0.76
43:58.6,0.01,0.24,-0.88
43:58.6,0.03,0.12,-0.89
43:58.6,0.02,0.3,-0.78
43:58.7,0.01,0.2,-0.72
43:58.7,0,0.18,-0.74
43:58.7,0.04,0.29,-0.67
43:58.8,0,0.29,-0.58
43:58.8,-0.03,0.22,-0.55
43:58.8,-0.12,0.34,-0.71
43:58.8,-0.19,0.25,-0.7
43:58.9,-0.21,0.16,-0.82
43:58.9,-0.28,0.23,-0.97
43:58.9,-0.29,0.17,-1.03
43:59.0,-0.29,0.11,-1.03
43:59.0,-0.31,0.12,-1
43:59.0,-0.3,0.12,-0.98
43:59.1,-0.26,0.14,-0.9
43:59.1,-0.15,0.19,-0.89
43:59.1,0.07,0.17,-0.86
43:59.2,0.24,0.09,-0.84
43:59.2,0.4,0.17,-0.87
43:59.2,0.64,0.3,-0.87
43:59.3,0.83,0.31,-0.9
43:59.3,1.09,0.61,-1.15
43:59.3,1.44,0.85,-0.56
43:59.3,1.35,1.02,-0.63
43:59.4,1.13,0.76,-0.62
43:59.4,0.97,0.76,-0.2
43:59.4,0.91,0.74,-0.17
43:59.5,0.99,0.54,0
43:59.5,0.92,0.56,0.11
43:59.5,0.83,0.56,0.15
43:59.6,0.84,0.39,0.12
43:59.6,0.87,0.29,0.04
43:59.6,0.82,0.21,0.04
43:59.7,0.85,0.1,0.11
43:59.7,0.94,0.13,0.22
43:59.7,0.97,0.19,0.09
43:59.8,1.02,0.16,0
43:59.8,0.92,0.18,0.16
43:59.8,0.81,0.26,0.21
43:59.8,0.69,0.29,0.11
43:59.9,0.62,0.27,0.06
43:59.9,0.5,0.29,0.06
43:59.9,0.4,0.24,0.05
44:00.0,0.51,0.32,0.07
44:00.0,0.8,0.41,0
44:00.0,1.13,0.44,-0.04
44:00.1,1.68,0.5,0.16
44:00.1,1.98,0.72,-0.04
44:00.1,1.96,0.5,-0.07
44:00.2,1.79,0.19,0
44:00.2,1.56,0.41,-0.09
44:00.2,1.39,0.46,-0.15
44:00.2,1.11,0.42,-0.15
44:00.3,1,0.23,-0.05
44:00.3,0.95,0.22,-0.08
44:00.3,0.93,0.21,-0.13
44:00.4,0.84,0.32,-0.12
44:00.4,0.84,0.38,-0.2
44:00.4,0.74,0.39,-0.21
44:00.5,0.63,0.35,-0.17
44:00.5,0.62,0.6,-0.33
44:00.5,0.53,0.48,-0.49
44:00.6,0.48,0.47,-0.53
44:00.6,0.52,0.43,-0.65
44:00.6,0.57,0.42,-0.78
44:00.7,0.44,0.51,-0.71
44:00.7,0.3,0.49,-0.5
44:00.7,0.3,0.45,-0.55
44:00.7,0.29,0.35,-0.64
44:00.8,0.26,0.43,-0.51
44:00.8,0.17,0.43,-0.45
44:00.8,0.13,0.3,-0.54
44:00.9,0.13,0.32,-0.58
44:00.9,0.14,0.39,-0.53
44:00.9,0.11,0.28,-0.52
44:01.0,0.08,0.34,-0.64
44:01.0,0.06,0.4,-0.74
44:01.0,0.09,0.35,-0.71
44:01.1,0.08,0.43,-0.92
44:01.1,0.04,0.4,-1.08
44:01.1,0.01,0.3,-1.2
44:01.2,0.2,0.31,-1.36
44:01.2,0.44,0.36,-1.57
44:01.2,0.5,0.34,-1.51
44:01.3,0.42,0.23,-1.21
44:01.3,0.31,0.22,-1.06
44:01.3,0.25,0.22,-0.98
44:01.3,0.26,0.14,-0.91
44:01.4,0.28,0.06,-0.84
44:01.4,0.3,0.04,-0.9
44:01.4,0.3,0.02,-0.74
44:01.5,0.25,0.06,-0.54
44:01.5,0.19,0.13,-0.54
44:01.5,0.13,0.43,-0.72
44:01.6,0.09,0.46,-0.57
44:01.6,0,0.59,-0.29
44:01.6,-0.03,0.6,-0.04
44:01.7,-0.03,0.9,0.16
44:01.7,0.04,1.21,0.01
44:01.7,0.22,0.66,0.23
44:01.8,0.19,0.91,0.5
44:01.8,0.14,0.64,0.82
44:01.8,0.2,0.68,0.84
44:01.8,0.31,0.66,0.81
44:01.9,0.36,0.56,0.85
44:01.9,0.36,0.47,0.95
44:01.9,0.34,0.33,0.96
44:02.0,0.27,0.22,0.97
44:02.0,0.25,0.17,0.93
44:02.0,0.25,0.17,0.96
44:02.1,0.24,0.17,0.94
44:02.1,0.22,0.01,0.81
44:02.1,0.21,0.02,0.73
44:02.2,0.25,0,0.9
44:02.2,0.26,0.01,0.89
44:02.2,0.24,-0.07,0.8
44:02.3,0.3,-0.01,0.98
44:02.3,0.41,0.13,1.06
44:02.3,0.53,0.17,1.08
44:02.3,0.53,0.18,1.16
44:02.4,0.48,0.14,1.08
44:02.4,0.47,0.15,1.04
44:02.4,0.57,0.34,0.79
44:02.5,0.39,0.25,0.95
44:02.5,0.4,0.14,0.88
44:02.5,0.5,0.21,0.9
44:02.6,0.48,0.14,0.88
44:02.6,0.46,0.06,0.8
44:02.6,0.5,0.03,0.85
44:02.7,0.55,0,0.94
44:02.7,0.55,0.05,0.89
44:02.7,0.53,0,0.93
44:02.8,0.53,0.06,0.97
44:02.8,0.5,0.03,0.96
44:02.8,0.51,0.02,0.93
44:02.8,0.53,0.05,0.98
44:02.9,0.56,-0.01,0.95
44:02.9,0.64,0.12,0.91
44:02.9,0.65,0.13,1.02
44:03.0,0.61,0.08,0.98
44:03.0,0.53,0,0.92
44:03.0,0.47,0.02,0.85
44:03.1,0.47,-0.11,0.85
44:03.1,0.52,-0.1,0.84
44:03.1,0.62,-0.07,0.85
44:03.2,0.63,-0.05,0.86
44:03.2,0.67,0.05,0.87
44:03.2,0.61,-0.15,1.03
44:03.3,0.52,0.21,0.72
44:03.3,0.13,0.73,1.66
44:03.3,0.52,0,1.03
44:03.3,0.58,0.18,0.81
44:03.4,0.59,0.45,0.75
44:03.4,0.55,0.57,0.84
44:03.4,0.56,0.44,0.84
44:03.5,0.53,0.54,0.74
44:03.5,0.44,0.8,0.62
44:03.5,0.56,0.72,0.62
44:03.6,0.42,0.61,0.6
44:03.6,0.42,0.36,0.41
44:03.6,0.51,1.19,0.53
44:03.7,0.19,0.59,0.54
44:03.7,0.48,0.82,0.5
44:03.7,0.58,0.99,0.42
44:03.8,0.29,0.7,0.48
44:03.8,0.43,0.73,0.27
44:03.8,0.25,0.87,0.17
44:03.8,0.24,0.9,0.14
44:03.9,0.21,0.79,0.06
44:03.9,0.15,0.82,0.01
44:03.9,0.17,0.88,0
44:04.0,0.2,0.85,-0.07
44:04.0,0.19,0.8,-0.1
44:04.0,0.21,0.99,-0.14
44:04.1,0.22,0.94,-0.11
44:04.1,0.16,0.92,-0.14
44:04.1,0.13,0.9,-0.12
44:04.2,0.12,0.8,-0.16
44:04.2,0.24,0.98,-0.21
44:04.2,0.17,0.83,-0.24
44:04.3,-0.22,0.76,-0.19
44:04.3,0.1,0.88,-0.31
44:04.3,0.05,0.93,-0.24
44:04.3,0.11,0.92,-0.3
44:04.4,0.07,1.07,-0.08
44:04.4,0.24,0.73,-0.28
44:04.4,0.14,0.91,-0.15
44:04.5,0,0.93,-0.32
44:04.5,0.16,0.88,-0.13
44:04.5,0.26,0.97,-0.06
44:04.6,0.25,0.94,0.16
44:04.6,0.17,1.25,-0.37
44:04.6,0.13,0.77,-0.14
44:04.7,-0.19,0.53,-1.41
44:04.7,0.21,0.71,0.48
44:04.7,0.12,0.91,-0.16
44:04.8,0.14,0.84,0.08
44:04.8,0.42,0.95,0.03
44:04.8,0.2,1.06,-0.14
44:04.8,0.29,1.03,0.06
44:04.9,0.49,0.95,0.19
44:04.9,0.36,1,0.22
44:04.9,0.42,1.01,0.03
44:05.0,0.45,1,0.18
44:05.0,0.39,0.94,0.13
44:05.0,0.33,0.9,0.12
44:05.1,0.27,1.06,0.09
44:05.1,0.29,1.04,0.07
44:05.1,0.18,0.93,0.08
44:05.2,0.08,0.79,0.04
