Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
59:26.4,-0.2,0.71,0.19,-1,34.1,1.097,0,0.0001,0.0000,0.0400,0.0401,0.2002
59:26.4,-0.21,0.42,0.29,-1,34.1,1.097,0,0.0001,0.0841,0.0100,0.0942,0.3069
59:26.5,-0.25,0.3,0.26,-1,34.1,1.103,0,0.0016,0.0144,0.0009,0.0169,0.1300
59:26.5,-0.27,0.2,0.24,-1,34.1,1.103,0,0.0004,0.0100,0.0004,0.0108,0.1039
59:26.5,-0.3,0.03,0.25,-1,34.1,1.103,0,0.0009,0.0289,0.0001,0.0299,0.1729
59:26.6,-0.24,-0.33,0.27,-1,34.1,1.103,0,0.0036,0.1296,0.0004,0.1336,0.3655
59:26.6,-0.1,-1.01,0.28,-1,34.1,1.097,0,0.0196,0.4624,0.0001,0.4821,0.6943
59:26.6,0.37,-0.8,0.08,-1,34.1,1.094,0,0.2209,0.0441,0.0400,0.3050,0.5523
59:26.7,0.97,0.71,-0.14,-1,34.1,1.094,0,0.3600,2.2801,0.0484,2.6885,1.6397
59:26.7,-0.96,0.98,-0.74,-1,34.1,1.09,0,3.7249,0.0729,0.3600,4.1578,2.0391
59:26.7,1.02,-0.68,0.92,-1,34.1,1.115,0,3.9204,2.7556,2.7556,9.4316,3.0711
59:26.8,-0.11,1.15,-0.04,-1,34.1,1.124,0,1.2769,3.3489,0.9216,5.5474,2.3553
59:26.8,-0.17,0.52,0.29,-1,34.1,1.133,0,0.0036,0.3969,0.1089,0.5094,0.7137
59:26.8,-0.2,0.37,0.22,-1,34.1,1.149,0,0.0009,0.0225,0.0049,0.0283,0.1682
59:26.8,-0.25,0.37,0.07,-1,34.1,1.152,0,0.0025,0.0000,0.0225,0.0250,0.1581
59:26.9,-0.3,0.29,0.11,-1,34.1,1.162,0,0.0025,0.0064,0.0016,0.0105,0.1025
59:26.9,-0.3,0.36,0.15,-1,34.1,1.168,0,0.0000,0.0049,0.0016,0.0065,0.0806
59:26.9,-0.31,0.29,0.25,-1,34.1,1.171,0,0.0001,0.0049,0.0100,0.0150,0.1225
59:27.0,-0.31,0.36,0.33,-1,34.1,1.178,0,0.0000,0.0049,0.0064,0.0113,0.1063
59:27.0,-0.33,0.23,0.47,-1,34.1,1.187,0,0.0004,0.0169,0.0196,0.0369,0.1921
59:27.0,-0.26,0.52,0.65,-1,34.1,1.187,0,0.0049,0.0841,0.0324,0.1214,0.3484
59:27.1,-0.26,0.67,0.66,-1,34.1,1.187,0,0.0000,0.0225,0.0001,0.0226,0.1503
59:27.1,-0.34,0.74,0.61,-1,34.1,1.181,0,0.0064,0.0049,0.0025,0.0138,0.1175
59:27.1,-0.25,0.76,1.06,-1,34.1,1.178,0,0.0081,0.0004,0.2025,0.2110,0.4593
59:27.2,-0.38,0.95,2.42,-1,34.1,1.178,0,0.0169,0.0361,1.8496,1.9026,1.3793
59:27.2,-0.74,0.58,0.74,-1,34.1,1.178,0,0.1296,0.1369,2.8224,3.0889,1.7575
59:27.2,-0.27,0.73,0.72,-1,34.1,1.178,0,0.2209,0.0225,0.0004,0.2438,0.4938
59:27.2,-0.17,0.22,0.98,-1,34.1,1.181,0,0.0100,0.2601,0.0676,0.3377,0.5811
59:27.3,-0.12,0,0.95,-1,34.1,1.181,0,0.0025,0.0484,0.0009,0.0518,0.2276
59:27.3,-0.08,0.32,0.78,-1,34.1,1.178,0,0.0016,0.1024,0.0289,0.1329,0.3646
59:27.3,-0.21,0.53,0.81,-1,34.1,1.187,0,0.0169,0.0441,0.0009,0.0619,0.2488
59:27.4,-0.35,0.49,0.88,-1,34.1,1.187,0,0.0196,0.0016,0.0049,0.0261,0.1616
59:27.4,-0.37,0.49,0.86,-1,34.1,1.187,0,0.0004,0.0000,0.0004,0.0008,0.0283
59:27.4,-0.31,0.49,0.85,-1,34.1,1.181,0,0.0036,0.0000,0.0001,0.0037,0.0608
59:27.5,-0.26,0.49,0.82,-1,34.1,1.187,0,0.0025,0.0000,0.0009,0.0034,0.0583
59:27.5,-0.23,0.4,0.84,-1,34.1,1.187,0,0.0009,0.0081,0.0004,0.0094,0.0970
59:27.5,-0.24,0.45,0.85,-1,34.1,1.187,0,0.0001,0.0025,0.0001,0.0027,0.0520
59:27.6,-0.27,0.5,0.85,-1,34.1,1.19,0,0.0009,0.0025,0.0000,0.0034,0.0583
59:27.6,-0.3,0.46,0.84,-1,34.1,1.19,0,0.0009,0.0016,0.0001,0.0026,0.0510
59:27.6,-0.26,0.42,0.87,-1,34.1,1.197,0,0.0016,0.0016,0.0009,0.0041,0.0640
59:27.7,-0.23,0.46,0.87,-1,34.1,1.197,0,0.0009,0.0016,0.0000,0.0025,0.0500
59:27.7,-0.25,0.43,0.86,-1,34.1,1.197,0,0.0004,0.0009,0.0001,0.0014,0.0374
59:27.7,-0.26,0.4,0.86,-1,34.1,1.197,0,0.0001,0.0009,0,0.001,0.0316
59:27.7,-0.27,0.44,0.87,-1,34.1,1.204,0,0.0001,0.0016,0.0001,0.0018,0.0424
59:27.8,-0.27,0.45,0.84,-1,34.1,1.204,0,0,0.0001,0.0009,0.001,0.0316
59:27.8,-0.26,0.43,0.85,-1,34.1,1.207,0,0.0001,0.0004,0.0001,0.0006,0.0245
59:27.8,-0.25,0.43,0.86,-1,34.1,1.21,0,0.0001,0,0.0001,0.0002,0.0141
59:27.9,-0.24,0.46,0.85,-1,34.1,1.21,0,0.0001,0.0009,0.0001,0.0011,0.0332
59:27.9,-0.25,0.46,0.84,-1,34.1,1.22,0,0.0001,0,0.0001,0.0002,0.0141
59:27.9,-0.27,0.44,0.86,-1,34.1,1.223,0,0.0004,0.0004,0.0004,0.0012,0.0346
59:28.0,-0.25,0.46,0.86,-1,34.1,1.23,0,0.0004,0.0004,0,0.0008,0.0283
59:28.0,-0.25,0.45,0.84,-1,34.1,1.23,0,0,0.0001,0.0004,0.0005,0.0224

