Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
41:46.7,0.16,0.51,0.83,-1,33.9,0.775
41:46.8,0.16,0.38,0.84,-1,33.9,0.775
41:46.8,0.25,0.4,0.71,-1,33.9,0.775
41:46.8,0.27,0.53,0.78,-1,33.9,0.777
41:46.8,0.3,0.97,1.07,-1,33.9,0.782
41:46.9,0.11,0.91,0.93,-1,33.9,0.782
41:46.9,0.04,1.26,0.88,-1,33.9,0.765
41:46.9,0.16,0.63,1.14,-1,33.9,0.719
41:47.0,0.16,0.31,0.92,-1,33.9,0.696
41:47.0,0.01,0.35,0.47,-1,33.9,0.703
41:47.0,0.02,0.5,0.51,-1,33.9,0.71
41:47.1,-0.01,0.44,0.57,-1,33.9,0.722
41:47.1,-0.02,0.63,0.56,-1,33.9,0.734
41:47.1,0,0.78,0.61,-1,33.9,0.746
41:47.2,-0.08,0.52,0.67,-1,33.9,0.753
41:47.2,-0.02,0.62,0.7,-1,33.9,0.753
41:47.2,-0.05,0.61,0.57,-1,33.9,0.76
41:47.2,0.09,0.67,0.73,-1,33.9,0.76
41:47.3,0.03,0.8,0.92,-1,33.9,0.76
41:47.3,-0.31,0.5,0.86,-1,33.9,0.76
41:47.3,-0.2,0.03,0.07,-1,33.9,0.763
41:47.4,0.45,0.54,0.36,-1,33.9,0.767
41:47.4,0.26,0.86,1.31,-1,33.9,0.772
41:47.4,0.17,0.87,1.1,-1,33.9,0.775
41:47.5,0.05,0.7,0.89,-1,33.9,0.775
41:47.5,0.04,0.55,0.88,-1,33.9,0.775
41:47.5,0.06,0.6,0.85,-1,33.9,0.775
41:47.6,0.04,0.56,0.9,-1,33.9,0.775
41:47.6,0.05,0.48,0.79,-1,33.9,0.775
41:47.6,0.12,0.54,0.77,-1,33.9,0.775
41:47.7,0.1,0.5,0.91,-1,33.9,0.779
41:47.7,0.04,0.56,0.74,-1,33.9,0.782
41:47.7,0,1,1.04,-1,33.9,0.775
41:47.7,0.07,0.79,1.2,-1,33.9,0.767
41:47.8,0.04,0.38,0.97,-1,33.9,0.767
41:47.8,-0.02,0.42,0.69,-1,33.9,0.76
41:47.8,-0.02,0.4,0.71,-1,33.9,0.753
41:47.9,-0.02,0.42,0.81,-1,33.9,0.75
41:47.9,-0.07,0.5,0.74,-1,33.9,0.753
41:47.9,-0.07,0.54,0.76,-1,33.9,0.75
41:48.0,-0.05,0.52,0.87,-1,33.9,0.746
41:48.0,-0.13,0.43,0.8,-1,33.9,0.746
41:48.0,-0.11,0.52,0.78,-1,33.9,0.748
