Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
41:45.0,-0.23,-0.05,-0.79,-1,33.9,0.76
41:45.0,-0.22,-0.02,-0.78,-1,34.1,0.76
41:45.1,-0.2,-0.06,-0.72,-1,33.9,0.76
41:45.1,-0.15,0,-0.86,-1,34.1,0.76
41:45.1,-0.13,0,-0.96,-1,34.1,0.76
41:45.2,-0.1,-0.11,-0.96,-1,33.9,0.76
41:45.2,-0.12,-0.05,-1.02,-1,33.9,0.76
41:45.2,-0.13,-0.01,-1.07,-1,33.9,0.76
41:45.3,-0.13,-0.05,-1.07,-1,34.1,0.76
41:45.3,-0.11,-0.02,-1.05,-1,33.9,0.76
41:45.3,-0.1,-0.02,-1.07,-1,33.9,0.76
41:45.3,-0.1,-0.06,-1.03,-1,33.9,0.76
41:45.4,-0.09,-0.05,-0.99,-1,33.9,0.76
41:45.4,-0.1,-0.03,-1,-1,34.1,0.76
41:45.4,-0.1,-0.05,-0.96,-1,34.1,0.76
41:45.5,-0.1,-0.06,-0.96,-1,33.9,0.763
41:45.5,-0.1,-0.03,-0.95,-1,33.9,0.763
41:45.5,-0.09,-0.09,-0.91,-1,33.9,0.763
41:45.6,-0.1,-0.07,-0.93,-1,33.9,0.76
41:45.6,-0.09,-0.06,-0.93,-1,33.9,0.763
41:45.6,-0.07,-0.07,-0.89,-1,33.9,0.763
41:45.7,-0.06,-0.05,-0.9,-1,33.9,0.763
41:45.7,-0.06,0.06,-0.95,-1,33.9,0.763
41:45.7,-0.09,0.48,-1.08,-1,33.9,0.763
41:45.8,-0.09,0.24,-0.89,-1,33.9,0.763
41:45.8,-0.14,0.22,-0.67,-1,33.9,0.767
41:45.8,-0.16,0.17,-0.22,-1,33.9,0.767
41:45.8,-0.14,1.27,-0.25,-1,33.9,0.767
41:45.9,-0.18,1.29,-0.26,-1,33.9,0.772
41:45.9,-0.16,1.24,0.06,-1,33.9,0.775
41:45.9,-0.3,1.06,0.07,-1,33.9,0.777
41:46.0,-0.24,0.84,0.12,-1,33.9,0.782
41:46.0,-0.21,0.58,0.2,-1,33.9,0.777
41:46.0,-0.14,0.82,0.38,-1,33.9,0.782
41:46.1,-0.12,0.81,0.35,-1,33.9,0.785
41:46.1,-0.07,0.5,0.41,-1,33.9,0.789
41:46.1,-0.03,0.12,0.65,-1,33.9,0.789
41:46.2,0,1.04,0.78,-1,33.9,0.789
41:46.2,0.14,0.8,0.8,-1,33.9,0.782
41:46.2,0.01,0.38,0.81,-1,33.9,0.782
41:46.3,0.1,0.63,0.95,-1,33.9,0.775
41:46.3,0.07,0.51,1.12,-1,33.9,0.775
41:46.3,0,0.44,1.16,-1,33.9,0.775
41:46.3,-0.02,0.49,0.9,-1,33.9,0.767
41:46.4,-0.04,0.36,0.72,-1,33.9,0.775
41:46.4,-0.04,0.26,0.61,-1,33.9,0.775
41:46.4,0.01,0.56,0.58,-1,33.9,0.767
41:46.5,-0.03,0.49,1.36,-1,33.9,0.767
41:46.5,-0.23,0.4,0.57,-1,33.9,0.767
41:46.5,0.47,-0.51,0.41,-1,33.9,0.767
41:46.6,0.4,0.98,1.26,-1,33.9,0.767
41:46.6,0.19,0.83,1.25,-1,33.9,0.767
41:46.6,0.11,0.61,0.92,-1,33.9,0.772
41:46.7,0.12,0.64,0.93,-1,33.9,0.775
41:46.7,0.16,0.55,0.92,-1,33.9,0.775
