Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
43:25.7,0.05,0.47,0.95
43:25.7,0.05,0.45,0.89
43:25.7,0.04,0.44,0.96
43:25.8,0.01,0.21,0.86
43:25.8,-0.05,0.18,0.82
43:25.8,-0.09,0.2,0.89
43:25.8,-0.1,0.15,0.82
43:25.9,-0.09,0.11,1
43:25.9,-0.05,0.21,1.09
43:25.9,0,0.3,1.13
43:26.0,0,0.31,1.1
43:26.0,-0.01,0.39,1.04
43:26.0,-0.03,0.32,1.03
43:26.1,-0.03,0.33,0.93
43:26.1,-0.02,0.37,0.99
43:26.1,-0.04,0.32,0.93
43:26.2,-0.02,0.18,0.8
43:26.2,0.03,0.18,0.76
43:26.2,0.06,0.42,0.97
43:26.3,0.04,0.51,1.01
43:26.3,0.1,0.28,1.69
43:26.3,0.09,0.45,0.93
43:26.3,0.05,0.2,0.82
43:26.4,0.05,0.28,0.87
43:26.4,0.04,0.44,1.07
43:26.4,0.03,0.29,0.92
43:26.5,0,0.31,0.82
43:26.5,0.01,0.38,0.99
43:26.5,0,0.45,1.03
43:26.6,0,0.36,0.93
43:26.6,-0.04,0.68,1.02
43:26.6,0.01,0.28,0.96
43:26.7,0,0.32,0.87
43:26.7,-0.03,0.35,0.85
43:26.7,0,0.32,0.85
43:26.8,0.02,0.28,0.79
43:26.8,0.03,0.33,0.88
43:26.8,0.05,0.47,0.98
43:26.8,0,0.46,0.93
43:26.9,-0.01,0.54,0.99
43:26.9,-0.03,0.5,1.22
43:26.9,0.06,0.36,0.69
43:27.0,0.03,0.29,0.86
43:27.0,0.01,0.43,1.04
43:27.0,-0.01,0.34,0.93
43:27.1,-0.03,0.23,0.84
43:27.1,-0.03,0.39,1.01
43:27.1,-0.01,0.44,0.95
43:27.2,-0.02,0.31,0.83
43:27.2,-0.02,0.45,1
43:27.2,-0.08,0.6,1.16
43:27.2,-0.13,0.44,0.81
43:27.3,-0.17,0.57,1.14
43:27.3,-0.1,0.24,0.79
43:27.3,-0.09,0.33,0.74
43:27.4,-0.14,0.47,0.97
43:27.4,-0.08,0.5,1
43:27.4,-0.06,0.4,0.85
43:27.5,-0.08,0.41,0.88
43:27.5,-0.11,0.41,0.95
43:27.5,-0.16,0.41,0.9
43:27.6,-0.14,0.38,0.82
43:27.6,-0.15,0.37,0.8
43:27.6,-0.18,0.39,0.74
43:27.7,-0.19,0.52,0.65
43:27.7,-0.19,0.64,0.76
43:27.7,-0.24,0.88,0.69
43:27.8,-0.27,1.07,0.7
43:27.8,-0.2,0.87,0.77
43:27.8,-0.26,0.69,0.47
43:27.8,-0.27,0.77,0.27
43:27.9,-0.27,0.72,0.32
43:27.9,-0.29,0.73,0.25
43:27.9,-0.29,0.76,0.19
43:28.0,-0.28,0.82,0.2
43:28.0,-0.28,0.78,0.17
43:28.0,-0.28,1.02,0.06
43:28.1,-0.29,0.97,0.16
43:28.1,-0.31,0.83,0.26
43:28.1,-0.33,0.79,0.25
43:28.2,-0.28,0.71,0.41
43:28.2,-0.25,0.53,0.65
43:28.2,-0.22,0.64,0.93
43:28.3,-0.24,1,0.91
43:28.3,-0.23,0.9,0.69
43:28.3,-0.22,0.49,0.75
43:28.3,-0.18,0.4,0.88
43:28.4,-0.16,0.44,0.79
43:28.4,-0.13,0.5,0.92
43:28.4,-0.13,0.52,0.93
43:28.5,-0.17,0.42,0.83
43:28.5,-0.17,0.34,0.9
43:28.5,-0.17,0.39,0.89
43:28.6,-0.17,0.4,0.84
43:28.6,-0.18,0.32,0.91
43:28.6,-0.16,0.38,0.95
43:28.7,-0.17,0.4,0.92
43:28.7,-0.18,0.32,0.91
43:28.7,-0.16,0.36,0.94
43:28.8,-0.15,0.36,0.91
43:28.8,-0.14,0.32,0.87
43:28.8,-0.12,0.36,0.91
43:28.8,-0.12,0.34,0.95
43:28.9,-0.12,0.34,0.92
43:28.9,-0.12,0.37,0.93
43:28.9,-0.1,0.4,1
43:29.0,-0.09,0.42,0.99
43:29.0,-0.11,0.3,0.93
43:29.0,-0.14,0.28,0.83
43:29.1,-0.16,0.3,0.85
43:29.1,-0.18,0.34,0.93
43:29.1,-0.18,0.38,0.95
43:29.2,-0.19,0.45,0.85
43:29.2,-0.1,0.34,0.73
43:29.2,0.45,0.36,1.24
43:29.3,-0.1,0.48,1.03
43:29.3,-0.05,0.27,0.94
43:29.3,-0.07,0.37,0.96
43:29.3,-0.06,0.35,1
43:29.4,-0.06,0.29,0.85
43:29.4,-0.06,0.31,0.86
43:29.4,-0.05,0.37,0.93
43:29.5,-0.04,0.36,0.94
43:29.5,-0.05,0.35,0.85
43:29.5,-0.05,0.48,1.02
43:29.6,-0.06,0.5,1
43:29.6,0.09,0.24,1.07
43:29.6,-0.07,0.43,0.89
43:29.7,0,0.31,0.87
43:29.7,-0.01,0.35,0.91
43:29.7,-0.03,0.43,1.04
43:29.8,-0.04,0.3,0.9
43:29.8,-0.06,0.31,0.87
43:29.8,-0.04,0.38,0.94
43:29.8,-0.05,0.34,0.89
43:29.9,-0.05,0.4,0.87
43:29.9,-0.05,0.46,0.97
43:29.9,-0.15,0.7,1.1
43:30.0,-0.03,0.14,0.88
43:30.0,-0.01,0.31,0.87
43:30.0,-0.01,0.42,0.98
43:30.1,-0.02,0.42,0.98
43:30.1,-0.02,0.28,0.86
