,Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
1150,17:11:20.906,-0.04,-1.49,-0.02,-1.0,35.2,0.32899999999999996,0.0
1151,17:11:20.937,0.1,-1.5,-0.18,-1.0,35.2,0.32899999999999996,0.0
1152,17:11:20.968,-0.1,-2.02,0.15,-1.0,35.4,0.326,0.0
1153,17:11:21.000,-0.18,-1.51,0.01,-1.0,35.4,0.326,0.0
1154,17:11:21.031,-0.23,-1.13,0.02,-1.0,35.2,0.324,0.0
1155,17:11:21.062,-0.29,-0.99,0.09,-1.0,35.4,0.324,0.0
1156,17:11:21.093,-0.33,-0.76,0.11,-1.0,35.2,0.324,0.0
1157,17:11:21.125,-0.36,-0.62,0.17,-1.0,35.2,0.324,0.0
1158,17:11:21.156,-0.42,-0.54,0.17,-1.0,35.4,0.324,0.0
1159,17:11:21.187,-0.43,-0.48,0.15,-1.0,35.2,0.324,0.0
1160,17:11:21.218,-0.45,-0.43,0.14,-1.0,35.2,0.324,0.0
1161,17:11:21.250,-0.45,-0.39,0.11,-1.0,35.4,0.321,0.0
1162,17:11:21.281,-0.43,-0.37,0.07,-1.0,35.4,0.321,0.0
1163,17:11:21.312,-0.4,-0.4,0.07,-1.0,35.4,0.324,0.0
1164,17:11:21.343,-0.34,-0.42,0.11,-1.0,35.2,0.321,0.0
1165,17:11:21.375,-0.21,-0.5,0.19,-1.0,35.2,0.321,0.0
1166,17:11:21.406,-0.06,-0.84,0.1,-1.0,35.4,0.321,0.0
1167,17:11:21.437,0.0,-0.58,0.0,-1.0,35.4,0.321,0.0
1168,17:11:21.468,0.25,-0.4,0.01,-1.0,35.4,0.321,0.0
1169,17:11:21.500,-0.1,-1.15,-0.02,-1.0,35.4,0.311,0.0
