Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
59:01.9,-0.43,0.71,-0.4,-1,34.5,0.446,0,0.0001,0.0001,0.0001,0.0003,0.0173
59:01.9,-0.44,0.7,-0.41,-1,34.5,0.446,0,0.0001,0.0001,0.0001,0.0003,0.0173
59:02.0,-0.44,0.68,-0.39,-1,34.5,0.446,0,0.0000,0.0004,0.0004,0.0008,0.0283
59:02.0,-0.43,0.72,-0.38,-1,34.5,0.446,0,0.0001,0.0016,0.0001,0.0018,0.0424
59:02.0,-0.43,0.73,-0.37,-1,34.5,0.446,0,0.0000,0.0001,0.0001,0.0002,0.0141
59:02.1,-0.45,0.66,-0.34,-1,34.5,0.446,0,0.0004,0.0049,0.0009,0.0062,0.0787
59:02.1,-0.42,0.69,-0.25,-1,34.5,0.446,0,0.0009,0.0009,0.0081,0.0099,0.0995
59:02.1,-0.4,0.77,-0.12,-1,34.5,0.446,0,0.0004,0.0064,0.0169,0.0237,0.1539
59:02.2,-0.39,0.54,0.05,-1,34.5,0.446,0,0.0001,0.0529,0.0289,0.0819,0.2862
59:02.2,-0.36,0.59,0.43,-1,34.5,0.446,0,0.0009,0.0025,0.1444,0.1478,0.3844
59:02.2,-0.31,0.94,0.37,-1,34.5,0.448,0,0.0025,0.1225,0.0036,0.1286,0.3586
59:02.3,-0.32,1.19,0.26,-1,34.5,0.448,0,0.0001,0.0625,0.0121,0.0747,0.2733
59:02.3,-0.3,0.88,0.67,-1,34.5,0.448,0,0.0004,0.0961,0.1681,0.2646,0.5144
59:02.3,-0.25,0.63,0.8,-1,34.5,0.452,0,0.0025,0.0625,0.0169,0.0819,0.2862
59:02.3,-0.31,0.51,0.62,-1,34.5,0.452,0,0.0036,0.0144,0.0324,0.0504,0.2245
59:02.4,-0.25,0.63,0.82,-1,34.5,0.452,0,0.0036,0.0144,0.0400,0.0580,0.2408
59:02.4,-0.21,0.31,0.87,-1,34.5,0.455,0,0.0016,0.1024,0.0025,0.1065,0.3263
59:02.4,-0.21,0.44,0.66,-1,34.5,0.457,0,0.0000,0.0169,0.0441,0.0610,0.2470
59:02.5,-0.19,0.37,0.81,-1,34.5,0.457,0,0.0004,0.0049,0.0225,0.0278,0.1667
59:02.5,-0.08,0.35,0.96,-1,34.5,0.457,0,0.0121,0.0004,0.0225,0.0350,0.1871
59:02.5,-0.35,2.08,1.52,-1,34.5,0.457,0,0.0729,2.9929,0.3136,3.3794,1.8383
59:02.6,-0.08,0,0.25,-1,34.5,0.457,0,0.0729,4.3264,1.6129,6.0122,2.4520
