Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
58:32.8,-0.27,0.38,0.94,-1,35.2,0.267,0,0.0036,0.0064,0.0001,0.0101,0.1005
58:32.8,-0.2,0.37,0.91,-1,35.2,0.267,0,0.0049,0.0001,0.0009,0.0059,0.0768
58:32.8,-0.15,0.32,0.81,-1,35.2,0.267,0,0.0025,0.0025,0.0100,0.0150,0.1225
58:32.9,-0.13,0.35,0.93,-1,35.4,0.267,0,0.0004,0.0009,0.0144,0.0157,0.1253
58:32.9,-0.15,0.4,0.96,-1,35.2,0.267,0,0.0004,0.0025,0.0009,0.0038,0.0616
58:32.9,-0.18,0.46,0.92,-1,35.2,0.267,0,0.0009,0.0036,0.0016,0.0061,0.0781
58:33.0,-0.2,0.4,0.9,-1,35.2,0.267,0,0.0004,0.0036,0.0004,0.0044,0.0663
58:33.0,-0.22,0.44,0.88,-1,35.2,0.267,0,0.0004,0.0016,0.0004,0.0024,0.0490
58:33.0,-0.22,0.5,0.85,-1,35.2,0.267,0,0.0000,0.0036,0.0009,0.0045,0.0671
58:33.1,-0.2,0.5,0.87,-1,35.2,0.267,0,0.0004,0.0000,0.0004,0.0008,0.0283
58:33.1,-0.23,0.51,0.85,-1,35.2,0.267,0,0.0009,0.0001,0.0004,0.0014,0.0374
58:33.1,-0.23,0.55,0.79,-1,35.2,0.267,0,0.0000,0.0016,0.0036,0.0052,0.0721
58:33.2,-0.22,0.63,0.74,-1,35.2,0.267,0,0.0001,0.0064,0.0025,0.0090,0.0949
58:33.2,-0.23,0.64,0.69,-1,35.2,0.267,0,0.0001,0.0001,0.0025,0.0027,0.0520
58:33.2,-0.24,0.67,0.65,-1,35.2,0.267,0,0.0001,0.0009,0.0016,0.0026,0.0510
58:33.2,-0.27,0.7,0.59,-1,35.2,0.267,0,0.0009,0.0009,0.0036,0.0054,0.0735
58:33.3,-0.27,0.76,0.53,-1,35.2,0.267,0,0.0000,0.0036,0.0036,0.0072,0.0849
58:33.3,-0.3,0.77,0.5,-1,35.2,0.267,0,0.0009,0.0001,0.0009,0.0019,0.0436
58:33.3,-0.32,0.8,0.42,-1,35.2,0.267,0,0.0004,0.0009,0.0064,0.0077,0.0877
58:33.4,-0.33,0.86,0.33,-1,35.2,0.267,0,0.0001,0.0036,0.0081,0.0118,0.1086
58:33.4,-0.35,0.82,0.3,-1,35.2,0.267,0,0.0004,0.0016,0.0009,0.0029,0.0539
58:33.4,-0.36,0.86,0.16,-1,35.2,0.267,0,0.0001,0.0016,0.0196,0.0213,0.1459
58:33.5,-0.38,0.88,0.01,-1,35.2,0.262,0,0.0004,0.0004,0.0225,0.0233,0.1526
58:33.5,-0.4,0.9,0.02,-1,35.2,0.262,0,0.0004,0.0004,0.0001,0.0009,0.0300
58:33.5,-0.4,0.9,-0.08,-1,35.2,0.262,0,0.0000,0.0000,0.0100,0.0100,0.1000
58:33.6,-0.45,0.74,-0.22,-1,35.2,0.262,0,0.0025,0.0256,0.0196,0.0477,0.2184
58:33.6,-0.46,0.68,-0.35,-1,35.2,0.262,0,0.0001,0.0036,0.0169,0.0206,0.1435
58:33.6,-0.39,0.59,-0.38,-1,35.2,0.262,0,0.0049,0.0081,0.0009,0.0139,0.1179
58:33.7,-0.44,0.4,-0.54,-1,35.2,0.259,0,0.0025,0.0361,0.0256,0.0642,0.2534
58:33.7,-0.46,0.53,-0.62,-1,35.2,0.262,0,0.0004,0.0169,0.0064,0.0237,0.1539
58:33.7,-0.46,0.5,-0.54,-1,35.2,0.262,0,0.0000,0.0009,0.0064,0.0073,0.0854
58:33.8,-0.43,0.43,-0.49,-1,35.2,0.259,0,0.0009,0.0049,0.0025,0.0083,0.0911
58:33.8,-0.41,0.45,-0.47,-1,35.2,0.259,0,0.0004,0.0004,0.0004,0.0012,0.0346
58:33.8,-0.4,0.46,-0.47,-1,35.2,0.259,0,0.0001,0.0001,0.0000,0.0002,0.0141
58:33.8,-0.39,0.44,-0.48,-1,35.2,0.262,0,0.0001,0.0004,0.0001,0.0006,0.0245
58:33.9,-0.4,0.5,-0.68,-1,35.2,0.262,0,0.0001,0.0036,0.0400,0.0437,0.2090
58:33.9,-0.54,0.72,-1.32,-1,35.2,0.262,0,0.0196,0.0484,0.4096,0.4776,0.6911
58:33.9,-0.34,0.23,-0.37,-1,35.2,0.262,0,0.0400,0.2401,0.9025,1.1826,1.0875
58:34.0,-0.4,0.48,-0.62,-1,35.2,0.262,0,0.0036,0.0625,0.0625,0.1286,0.3586
58:34.0,-0.43,0.44,-0.72,-1,35.2,0.262,0,0.0009,0.0016,0.0100,0.0125,0.1118
58:34.0,-0.4,0.46,-0.71,-1,35.2,0.262,0,0.0009,0.0004,0.0001,0.0014,0.0374
58:34.1,-0.4,0.52,-0.78,-1,35.2,0.262,0,0,0.0036,0.0049,0.0085,0.0922
58:34.1,-0.38,0.5,-0.68,-1,35.2,0.262,0,0.0004,0.0004,0.01,0.0108,0.1039
58:34.1,-0.41,0.52,-0.7,-1,35.2,0.262,0,0.0009,0.0004,0.0004,0.0017,0.0412
58:34.2,-0.44,0.47,-0.67,-1,35.2,0.262,0,0.0009,0.0025,0.0009,0.0043,0.0656
58:34.2,-0.45,0.48,-0.66,-1,35.2,0.262,0,0.0001,0.0001,0.0001,0.0003,0.0173
