Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
42:09.9,0.63,0.87,0.25,-1,33.5,1.037
42:09.9,0.53,0.8,0.15,-1,33.5,1.037
42:10.0,0.61,0.76,0.15,-1,33.5,1.037
42:10.0,0.65,0.82,0.2,-1,33.5,1.04
42:10.0,0.62,0.81,0.15,-1,33.5,1.037
42:10.1,0.58,0.75,0.14,-1,33.5,1.04
42:10.1,0.53,0.73,0.2,-1,33.5,1.037
42:10.1,0.52,0.69,0.19,-1,33.5,1.037
42:10.2,0.52,0.67,0.19,-1,33.5,1.04
42:10.2,0.53,0.66,0.2,-1,33.5,1.046
42:10.2,0.58,0.68,0.17,-1,33.5,1.04
42:10.3,0.59,0.66,0.23,-1,33.5,1.037
42:10.3,0.54,0.62,0.28,-1,33.5,1.04
42:10.3,0.51,0.59,0.26,-1,33.5,1.04
42:10.3,0.47,0.52,0.33,-1,33.5,1.04
42:10.4,0.46,0.52,0.4,-1,33.5,1.046
42:10.4,0.47,0.49,0.41,-1,33.5,1.046
42:10.4,0.5,0.41,0.34,-1,33.5,1.046
42:10.5,0.49,0.36,0.41,-1,33.5,1.046
42:10.5,0.42,0.28,0.53,-1,33.5,1.046
42:10.5,0.52,0.22,0.48,-1,33.5,1.046
42:10.6,0.8,0.04,0.41,-1,33.5,1.046
42:10.6,1.05,0,0.41,-1,33.5,1.049
42:10.6,1.39,0.08,0.32,-1,33.5,1.052
42:10.7,1.53,0.08,0.51,-1,33.5,1.049
42:10.7,1.56,0.03,0.62,-1,33.5,1.049
42:10.7,1.39,0.12,0.55,-1,33.5,1.046
42:10.8,1.07,0.25,0.82,-1,33.5,1.046
42:10.8,0.86,0.34,0.8,-1,33.5,1.046
42:10.8,0.63,0.47,0.78,-1,33.5,1.046
42:10.8,0.52,0.69,0.94,-1,33.5,1.046
42:10.9,0.42,0.63,0.82,-1,33.5,1.055
42:10.9,0.32,0.61,0.83,-1,33.3,1.055
42:10.9,0.36,0.88,0.61,-1,33.5,1.058
42:11.0,0.43,0.99,0.6,-1,33.5,1.058
42:11.0,0.53,0.95,0.51,-1,33.5,1.064
42:11.0,0.62,1,0.35,-1,33.5,1.064
42:11.1,0.79,0.76,0.48,-1,33.5,1.067
42:11.1,0.5,0.26,0.64,-1,33.5,1.067
42:11.1,-0.05,1.16,0.26,-1,33.5,1.073
42:11.2,-0.27,1.82,-0.01,-1,33.5,1.076
42:11.2,-0.04,1.14,0.11,-1,33.5,1.082
42:11.2,0,0.62,0.06,-1,33.5,1.085
