Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
59:17.7,-0.3,0.88,0.12,-1,34.1,0.742,0,0.0004,0.0001,0.0004,0.0009,0.0300
59:17.8,-0.3,0.88,0.12,-1,34.3,0.742,0,0.0000,0.0000,0.0000,0.0000,0.0000
59:17.8,-0.29,0.89,0.11,-1,34.3,0.749,0,0.0001,0.0001,0.0001,0.0003,0.0173
59:17.8,-0.3,0.88,0.14,-1,34.3,0.749,0,0.0001,0.0001,0.0009,0.0011,0.0332
59:17.9,-0.29,0.88,0.17,-1,34.3,0.753,0,0.0001,0.0000,0.0009,0.0010,0.0316
59:17.9,-0.3,0.92,0.15,-1,34.3,0.756,0,0.0001,0.0016,0.0004,0.0021,0.0458
59:17.9,-0.32,0.94,0.12,-1,34.3,0.761,0,0.0004,0.0004,0.0009,0.0017,0.0412
59:18.0,-0.29,0.94,0.15,-1,34.3,0.763,0,0.0009,0.0000,0.0009,0.0018,0.0424
59:18.0,-0.36,1.01,0.04,-1,34.3,0.771,0,0.0049,0.0049,0.0121,0.0219,0.1480
59:18.0,-0.38,1.06,0.08,-1,34.3,0.783,0,0.0004,0.0025,0.0016,0.0045,0.0671
59:18.1,-0.39,1,0.1,-1,34.3,0.79,0,0.0001,0.0036,0.0004,0.0041,0.0640
59:18.1,-0.41,0.93,0.08,-1,34.3,0.795,0,0.0004,0.0049,0.0004,0.0057,0.0755
59:18.1,-0.41,0.96,0.07,-1,34.3,0.805,0,0.0000,0.0009,0.0001,0.0010,0.0316
59:18.2,-0.41,0.84,0.11,-1,34.3,0.808,0,0.0000,0.0144,0.0016,0.0160,0.1265
59:18.2,-0.43,0.72,0.16,-1,34.3,0.812,0,0.0004,0.0144,0.0025,0.0173,0.1315
59:18.2,-0.46,0.75,0.14,-1,34.3,0.815,0,0.0009,0.0009,0.0004,0.0022,0.0469
59:18.2,-0.48,0.69,0.13,-1,34.3,0.815,0,0.0004,0.0036,0.0001,0.0041,0.0640
59:18.3,-0.5,0.59,0.21,-1,34.1,0.815,0,0.0004,0.0100,0.0064,0.0168,0.1296
59:18.3,-0.5,0.6,0.22,-1,34.3,0.815,0,0.0000,0.0001,0.0001,0.0002,0.0141
59:18.3,-0.52,0.59,0.23,-1,34.3,0.815,0,0.0004,0.0001,0.0001,0.0006,0.0245
59:18.4,-0.52,0.5,0.29,-1,34.3,0.82,0,0.0000,0.0081,0.0036,0.0117,0.1082
59:18.4,-0.51,0.27,0.39,-1,34.3,0.82,0,0.0001,0.0529,0.0100,0.0630,0.2510
59:18.4,-0.42,0.13,0.3,-1,34.3,0.82,0,0.0081,0.0196,0.0081,0.0358,0.1892
59:18.5,-0.25,-0.31,0.16,-1,34.3,0.82,0,0.0289,0.1936,0.0196,0.2421,0.4920
59:18.5,0,-0.76,0.45,-1,34.3,0.823,0,0.0625,0.2025,0.0841,0.3491,0.5908
59:18.5,0.36,0.04,0.28,-1,34.1,0.823,0,0.1296,0.6400,0.0289,0.7985,0.8936
59:18.6,-0.88,4.88,1.03,-1,34.1,0.823,0,1.5376,23.4256,0.5625,25.5257,5.0523
59:18.6,-1.37,-1.89,1.63,-1,34.1,0.835,0,0.2401,45.8329,0.3600,46.4330,6.8142
59:18.6,-0.48,0.98,-0.03,-1,34.1,0.835,0,0.7921,8.2369,2.7556,11.7846,3.4329
59:18.7,-0.11,0.93,0.4,-1,34.3,0.838,0,0.1369,0.0025,0.1849,0.3243,0.5695
59:18.7,-0.13,1,0.17,-1,34.1,0.85,0,0.0004,0.0049,0.0529,0.0582,0.2412
59:18.7,-0.17,0.73,0.11,-1,34.1,0.85,0,0.0016,0.0729,0.0036,0.0781,0.2795
59:18.8,-0.18,0.61,0.04,-1,34.3,0.85,0,0.0001,0.0144,0.0049,0.0194,0.1393
59:18.8,-0.2,0.41,0.16,-1,34.3,0.858,0,0.0004,0.0400,0.0144,0.0548,0.2341
59:18.8,-0.18,0.12,0.25,-1,34.3,0.858,0,0.0004,0.0841,0.0081,0.0926,0.3043
59:18.8,-0.19,-0.4,0.29,-1,34.1,0.858,0,0.0001,0.2704,0.0016,0.2721,0.5216
59:18.9,-0.1,-0.54,0.25,-1,34.1,0.866,0,0.0081,0.0196,0.0016,0.0293,0.1712
59:18.9,0.06,-0.6,0.11,-1,34.1,0.869,0,0.0256,0.0036,0.0196,0.0488,0.2209
59:18.9,0.82,0.15,0.23,-1,34.3,0.874,0,0.5776,0.5625,0.0144,1.1545,1.0745
59:19.0,1.22,0.37,0.34,-1,34.3,0.877,0,0.1600,0.0484,0.0121,0.2205,0.4696
59:19.0,0.5,1.86,-0.37,-1,34.3,0.877,0,0.5184,2.2201,0.5041,3.2426,1.8007
59:19.0,-0.2,1.7,0,-1,34.3,0.89,0,0.4900,0.0256,0.1369,0.6525,0.8078
59:19.1,-0.26,1,0.42,-1,34.1,0.906,0,0.0036,0.4900,0.1764,0.6700,0.8185
59:19.1,-0.22,0.75,0.25,-1,34.3,0.908,0,0.0016,0.0625,0.0289,0.0930,0.3050
59:19.1,-0.19,0.5,0.16,-1,34.3,0.914,0,0.0009,0.0625,0.0081,0.0715,0.2674
59:19.2,-0.17,0.07,0.33,-1,34.1,0.922,0,0.0004,0.1849,0.0289,0.2142,0.4628
59:19.2,-0.18,-0.04,0.28,-1,34.3,0.925,0,0.0001,0.0121,0.0025,0.0147,0.1212
59:19.2,-0.21,-0.2,0.21,-1,34.1,0.925,0,0.0009,0.0256,0.0049,0.0314,0.1772
59:19.3,-0.01,-0.7,0.29,-1,34.1,0.93,0,0.0400,0.2500,0.0064,0.2964,0.5444
59:19.3,0.22,-1,0.35,-1,34.3,0.919,0,0.0529,0.0900,0.0036,0.1465,0.3828
59:19.3,0.68,0.18,-0.21,-1,34.3,0.906,0,0.2116,1.3924,0.3136,1.9176,1.3848
59:19.3,-1.77,4.96,-3.88,-1,34.1,0.895,0,6.0025,22.8484,13.4689,42.3198,6.5054
59:19.4,0.28,0.38,0.51,-1,34.3,0.895,0,4.2025,20.9764,19.2721,44.4510,6.6672
59:19.4,-0.36,1.85,-0.16,-1,34.3,0.906,0,0.4096,2.1609,0.4489,3.0194,1.7376
59:19.4,-0.21,0.81,0.45,-1,34.1,0.916,0,0.0225,1.0816,0.3721,1.4762,1.2150
59:19.5,-0.23,0.68,0.31,-1,34.3,0.933,0,0.0004,0.0169,0.0196,0.0369,0.1921
59:19.5,-0.21,0.53,0.22,-1,34.3,0.946,0,0.0004,0.0225,0.0081,0.0310,0.1761
59:19.5,-0.17,0.51,0.19,-1,34.3,0.949,0,0.0016,0.0004,0.0009,0.0029,0.0539
59:19.6,-0.21,0.44,0.17,-1,34.3,0.949,0,0.0016,0.0049,0.0004,0.0069,0.0831
59:19.6,-0.29,0.22,0.16,-1,34.3,0.955,0,0.0064,0.0484,0.0001,0.0549,0.2343
59:19.6,-0.18,-0.51,0.28,-1,34.3,0.957,0,0.0121,0.5329,0.0144,0.5594,0.7479
59:19.7,-0.01,-1.21,0.42,-1,34.3,0.957,0,0.0289,0.4900,0.0196,0.5385,0.7338
59:19.7,0.48,-0.36,0,-1,34.3,0.955,0,0.2401,0.7225,0.1764,1.1390,1.0672
59:19.7,-0.22,4.6,3.03,-1,34.3,0.935,0,0.4900,24.6016,9.1809,34.2725,5.8543
59:19.8,-1.41,-2.69,2.27,-1,34.1,0.946,0,1.4161,53.1441,0.5776,55.1378,7.4255
59:19.8,-0.2,1.14,-0.22,-1,34.3,0.946,0,1.4641,14.6689,6.2001,22.3331,4.7258
59:19.8,-0.14,0.73,0.22,-1,34.3,0.946,0,0.0036,0.1681,0.1936,0.3653,0.6044
59:19.8,-0.19,0.42,0.26,-1,34.3,0.946,0,0.0025,0.0961,0.0016,0.1002,0.3165
59:19.9,-0.23,0.28,0.16,-1,34.3,0.946,0,0.0016,0.0196,0.0100,0.0312,0.1766
59:19.9,-0.25,0.26,0.12,-1,34.1,0.946,0,0.0004,0.0004,0.0016,0.0024,0.0490
59:19.9,-0.2,0.5,0.1,-1,34.3,0.946,0,0.0025,0.0576,0.0004,0.0605,0.2460
59:20.0,-0.27,0.77,0,-1,34.1,0.949,0,0.0049,0.0729,0.0100,0.0878,0.2963
59:20.0,-0.44,1.11,-0.02,-1,34.3,0.957,0,0.0289,0.1156,0.0004,0.1449,0.3807
59:20.0,-0.86,1.8,0.33,-1,34.1,0.957,0,0.1764,0.4761,0.1225,0.7750,0.8803
59:20.1,-0.25,0.79,0.54,-1,34.1,0.955,0,0.3721,1.0201,0.0441,1.4363,1.1985
59:20.1,-0.29,0.58,0.3,-1,34.1,0.946,0,0.0016,0.0441,0.0576,0.1033,0.3214
59:20.1,-0.31,1.12,0.66,-1,34.1,0.938,0,0.0004,0.2916,0.1296,0.4216,0.6493
59:20.2,-0.35,0.72,0.61,-1,34.1,0.93,0,0.0016,0.1600,0.0025,0.1641,0.4051
59:20.2,-0.24,0.71,0.78,-1,34.1,0.93,0,0.0121,0.0001,0.0289,0.0411,0.2027
59:20.2,-0.26,0.59,0.79,-1,34.3,0.93,0,0.0004,0.0144,0.0001,0.0149,0.1221
59:20.3,-0.33,0.6,0.7,-1,34.3,0.93,0,0.0049,0.0001,0.0081,0.0131,0.1145
59:20.3,-0.33,0.78,0.63,-1,34.1,0.93,0,0.0000,0.0324,0.0049,0.0373,0.1931
59:20.3,-0.31,0.61,0.69,-1,34.1,0.938,0,0.0004,0.0289,0.0036,0.0329,0.1814
59:20.3,-0.24,0.46,0.73,-1,34.3,0.941,0,0.0049,0.0225,0.0016,0.0290,0.1703
59:20.4,-0.26,0.53,0.65,-1,34.1,0.946,0,0.0004,0.0049,0.0064,0.0117,0.1082
59:20.4,-0.31,0.67,0.6,-1,34.3,0.946,0,0.0025,0.0196,0.0025,0.0246,0.1568
59:20.4,-0.36,0.82,0.57,-1,34.3,0.949,0,0.0025,0.0225,0.0009,0.0259,0.1609
59:20.5,-0.37,0.73,0.56,-1,34.1,0.955,0,0.0001,0.0081,0.0001,0.0083,0.0911
59:20.5,-0.31,0.67,0.63,-1,34.3,0.955,0,0.0036,0.0036,0.0049,0.0121,0.1100
59:20.5,-0.29,0.75,0.64,-1,34.1,0.957,0,0.0004,0.0064,0.0001,0.0069,0.0831
59:20.6,-0.37,0.8,0.52,-1,34.1,0.957,0,0.0064,0.0025,0.0144,0.0233,0.1526
59:20.6,-0.35,0.85,0.56,-1,34.1,0.963,0,0.0004,0.0025,0.0016,0.0045,0.0671
59:20.6,-0.34,0.75,0.51,-1,34.3,0.966,0,0.0001,0.0100,0.0025,0.0126,0.1122
59:20.7,-0.33,0.6,0.5,-1,34.1,0.971,0,0.0001,0.0225,0.0001,0.0227,0.1507
59:20.7,-0.36,0.73,0.36,-1,34.1,0.974,0,0.0009,0.0169,0.0196,0.0374,0.1934
59:20.7,-0.4,0.81,0.19,-1,34.1,0.983,0,0.0016,0.0064,0.0289,0.0369,0.1921
59:20.8,-0.41,0.72,0.25,-1,34.1,0.983,0,0.0001,0.0081,0.0036,0.0118,0.1086
59:20.8,-0.39,0.7,0.29,-1,34.3,0.988,0,0.0004,0.0004,0.0016,0.0024,0.049
59:20.8,-0.39,0.79,0.24,-1,34.1,0.988,0,0,0.0081,0.0025,0.0106,0.103
59:20.8,-0.4,0.81,0.18,-1,34.1,0.988,0,0.0001,0.0004,0.0036,0.0041,0.064
59:20.9,-0.4,0.8,0.29,-1,34.1,0.988,0,0,0.0001,0.0121,0.0122,0.1105
59:20.9,-0.4,0.9,0.25,-1,34.1,0.988,0,0,0.01,0.0016,0.0116,0.1077
59:20.9,-0.41,0.8,0.3,-1,34.1,0.988,0,0.0001,0.01,0.0025,0.0126,0.1122
59:21.0,-0.39,0.76,0.37,-1,34.1,0.988,0,0.0004,0.0016,0.0049,0.0069,0.0831
59:21.0,-0.39,0.79,0.31,-1,34.3,0.988,0,0,0.0009,0.0036,0.0045,0.0671
59:21.0,-0.4,0.78,0.31,-1,34.1,0.988,0,0.0001,0.0001,0,0.0002,0.0141
59:21.1,-0.39,0.77,0.34,-1,34.1,0.988,0,0.0001,0.0001,0.0009,0.0011,0.0332
59:21.1,-0.39,0.81,0.32,-1,34.3,0.988,0,0,0.0016,0.0004,0.002,0.0447
59:21.1,-0.38,0.83,0.29,-1,34.1,0.988,0,0.0001,0.0004,0.0009,0.0014,0.0374
59:21.2,-0.39,0.79,0.3,-1,34.1,0.983,0,0.0001,0.0016,0.0001,0.0018,0.0424
59:21.2,-0.38,0.79,0.32,-1,34.3,0.983,0,0.0001,0,0.0004,0.0005,0.0224

