,Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
1520,17:11:32.468,-0.01,-1.02,0.01,-1.0,35.2,0.848,0.0
1521,17:11:32.500,-0.14,-0.84,0.04,-1.0,35.2,0.848,0.0
1522,17:11:32.531,-0.18,-0.85,0.2,-1.0,35.2,0.856,0.0
1523,17:11:32.562,-0.22,-0.74,0.19,-1.0,35.2,0.8590000000000001,0.0
1524,17:11:32.593,-0.26,-0.8,0.19,-1.0,35.2,0.871,0.0
1525,17:11:32.625,-0.26,-0.68,0.2,-1.0,35.2,0.871,0.0
1526,17:11:32.656,-0.24,-0.75,0.22,-1.0,35.2,0.8740000000000001,0.0
1527,17:11:32.687,-0.21,-0.7,0.18,-1.0,35.2,0.871,0.0
1528,17:11:32.718,-0.24,-0.62,0.03,-1.0,35.2,0.871,0.0
1529,17:11:32.750,-0.22,-0.67,0.3,-1.0,35.2,0.871,0.0
1530,17:11:32.781,-1.29,-2.42,1.12,-1.0,35.2,0.871,0.0
1531,17:11:32.812,-0.62,-2.64,0.49,-1.0,35.2,0.853,0.0
1532,17:11:32.843,0.03,-1.08,0.0,-1.0,35.2,0.84,0.0
1533,17:11:32.875,0.05,-1.5,0.12,-1.0,35.2,0.828,0.0
1534,17:11:32.906,0.03,-1.14,-0.14,-1.0,35.2,0.823,0.0
1535,17:11:32.937,-0.05,-1.11,-0.25,-1.0,34.9,0.818,0.0
1536,17:11:32.968,-0.13,-0.78,-0.13,-1.0,35.2,0.818,0.0
1537,17:11:33.000,-0.22,-0.65,-0.02,-1.0,35.2,0.818,0.0
1538,17:11:33.031,-0.33,-0.66,0.08,-1.0,35.2,0.825,0.0
1539,17:11:33.062,-0.43,-0.58,0.05,-1.0,34.9,0.825,0.0
