,name,emotion,numerical,X-m,X-s,X-md,X-nmd,X-md2,X-nmd2,Y-m,Y-s,Y-md,Y-nmd,Y-md2,Y-nmd2,Z-m,Z-s,Z-md,Z-nmd,Z-md2,Z-nmd2,T-m,T-s,T-md,T-nmd,T-md2,T-nmd2,E-m,E-s,E-md,E-nmd,E-md2,E-nmd2,dist-m,t-diff,e-diff
0,or_an_01,an,1,34.29285714285715,-1.0,0.2710714285714286,1.9995267857142858,0.0,0.037282185960071205,0.0,0.728162388015519,0.26796426277193874,0.0,0.014414414414414108,0.0,0.2921621621621621,0.014513513513513515,0.0,0.38663007662296894,,0.4012321522928418,0.05416212357341769,,0.014545454545454235,0.0,0.37036363636363645,0.028445454545454555,0.0,0.39014489550135956,,0.5086278039888859,0.10615391116413217,,0.30401167552387676,0.758,0.0
1,sn_ha_01,ha,1,0.9847058823529411,0.25529411764705884,-0.018823529411764715,34.72352941176471,0.1076470588235294,0.8343644111467335,0.3623381991844571,0.2653507667442563,0.06642111641550573,0.007373442008914393,0.961875,0.50875,0.2975,0.049999999999998934,0.001562499999999997,1.1528236189724566,1.4040749806260655,1.121157491460083,0.752772652709081,0.21190917323428535,0.7966666666666666,0.3393333333333333,0.2473333333333333,0.0533333333333322,0.0028666666666666628,0.9548186092594051,0.936509962507672,0.9320995615275983,0.8029574962230198,0.38878269649383573,1.2355225220098018,0.19999999999999574,0.017999999999999988
2,ch_af_03,af,3,-0.9293750000000001,0.17125,-0.10625000000000001,27.4,0.3716250000000001,0.18964769969604167,0.07191430084946017,0.06711929677819933,0.0,0.0010246950765959797,0.128,0.08333333333333334,0.05533333333333334,0.0,0.0006000000000000117,0.6749356844567708,1.158786671760557,0.8244027573200956,,0.5855400437691199,0.18071428571428574,0.05285714285714286,0.07285714285714286,0.0,0.0006428571428571553,0.9528946884350615,0.7350018318024104,1.0854872794317953,,0.6273643326097713,0.1818437455525199,0.0,0.003000000000000058
3,dy_re_01,re,1,0.08224999999999999,-1.0397500000000002,-0.32575,35.45,0.29115,0.2372328456957912,0.686665997634725,0.16739156459462315,0.08770580193070417,0.004417622054384532,0.1641025641025641,0.2651282051282052,0.08435897435897435,0.08205128205128322,0.0011538461538461548,0.6917362712623545,0.386109412787964,0.5039619204424599,0.9355285539274978,0.26119168630574713,0.2197368421052632,0.42552631578947375,0.1423684210526316,0.06315789473684301,0.0013947368421052674,0.9262496576339876,0.6196991219242435,0.8505113229415663,0.7201107947994556,0.3157211787099301,0.3594981531823737,0.20000000000000284,0.013000000000000012
4,ch_ha_01,ha,1,-0.8988888888888888,0.22555555555555554,-0.061111111111111116,27.633333333333336,0.4326666666666667,0.6981483446310757,0.14748822928551886,0.5512359849566346,0.09999999999999906,0.0010000000000000009,0.5825,0.1825,0.59375,0.037499999999999645,0.00037500000000000033,0.8343498978112052,1.2373868808656094,1.0771248906159672,0.37499999999999994,0.375,0.8200000000000001,0.22999999999999998,0.6957142857142857,0.04285714285714245,0.00042857142857142893,1.1745354784638424,1.5594464799950145,1.2620988191999423,0.4285714285714285,0.42857142857142855,0.9258718350725914,0.29999999999999716,0.0030000000000000027
5,ii_re_02,re,2,0.8801538461538462,0.4506153846153846,-0.10061538461538462,34.46615384615385,0.12053846153846154,0.17733700533599425,0.464922294996288,0.10434134072655664,0.07557472104836792,0.002365619125335656,0.16671875,0.32109375,0.06140625000000001,0.04375000000000062,0.0006562500000000001,0.9401238601279174,0.6906396046301967,0.5885131393981703,0.5788972740236853,0.27741152114116646,0.19936507936507938,0.31809523809523815,0.06317460317460317,0.053968253968254734,0.0009841269841269842,1.1242158904586739,0.6841901141733326,0.6054609106486607,0.7141045738523465,0.41601243986702513,0.4095506561955118,0.20000000000000284,0.010999999999999996
6,ak_sa_03,sa,3,-0.7683455882352942,0.36959558823529415,0.14911764705882352,32.41617647058823,0.07478676470588234,0.182630992413825,0.2772363314017468,0.23196090327217161,0.05463138904893587,0.10652310582734201,0.0815129151291513,0.06634686346863468,0.08280442804428044,0.02361623616236196,0.0030258302583025844,0.44632575255600954,0.23931518330651463,0.35697579581815025,0.43228328207448286,0.02840538899801703,0.10766666666666667,0.09203703703703704,0.10796296296296296,0.026666666666667047,0.005392592592592595,0.5895311920700947,0.3319804318996884,0.465436034435012,0.4881198726757702,0.050623689111479526,0.1551180553726135,0.20000000000000284,0.281
7,dy_an_01,an,1,0.166,-0.7919999999999999,-0.03233333333333334,35.20000000000001,0.37003333333333344,0.27909459526018815,0.813512605077936,0.26570249545676833,7.226896453227138e-15,0.01689824176394229,0.23379310344827586,0.3517241379310345,0.17034482758620692,0.0,0.002103448275862065,0.8376840949941019,0.4323524131471063,0.6411111318069018,0.0,0.12447734535023833,0.24464285714285716,0.4857142857142857,0.27035714285714285,0.0,0.003928571428571426,0.8765589205150566,0.5970580943460039,1.017518267535925,0.0,0.23248403493399344,0.5104642482310208,0.0,0.04099999999999998
8,df_ha_04,ha,4,1.1440000000000001,-0.28911428571428566,0.20714285714285716,34.70571428571429,0.3339999999999999,0.6694607136037359,0.4297479953365674,0.322541118478317,0.03380617018913994,5.632157586931056e-17,0.6455882352941176,0.3267058823529411,0.2858823529411765,0.011764705882352691,0.0,0.964340733034039,0.7602266581769012,0.8863439002441329,0.34800469312350685,0.0,0.6069696969696969,0.3866060606060606,0.2633333333333333,0.012121212121211863,0.0,0.9066546918076086,0.8996110855695345,0.81643337313297,0.3585502898848252,0.0,0.831538191183017,0.19999999999999574,0.0
9,or_af_04,af,4,34.303960396039614,-1.0,0.9094059405940593,2.1212574257425745,0.0,0.028002828711428538,0.0,0.5050976574528498,0.07513782715321841,0.0,0.0020000000000000282,0.0,0.28059999999999996,0.009329999999999998,0.0,0.0714213560569253,,0.5555361341706353,0.12417181003883157,,0.004040404040404098,0.0,0.30757575757575756,0.016030303030303027,0.0,0.1442855677917683,,0.6089431479980073,0.21334531004755564,,0.2822396078054371,0.4069999999999998,0.0
